GROUP_1
N. Mikac 	6	6	6 - 0 - 0	12 - 2 (10)	148 - 102 (46)
V. Žbulj 	4	6	4 - 2 - 0	8 - 4 (4)	118 - 89 (29)
Z. Repija 	4	6	4 - 2 - 0	8 - 4 (4)	126 - 103 (23)
M. Mikac 	3	6	3 - 3 - 0	8 - 6 (2)	135 - 108 (27)
I. Levak 	3	6	3 - 3 - 0	7 - 8 (-1)	131 - 117 (14)
D. Terek 	1	6	1 - 5 - 0	2 - 10 (-8)	37 - 116 (-79)
P. Rojko 	0	6	0 - 6 - 0	1 - 12 (-11)	87 - 147 (-60)
T. Pavlic 	0	0	0 - 0 - 0	0 - 0	0 - 0
GROUP_2
I. Zlatarek 	5	6	5 - 1 - 0	11 - 3 (8)	149 - 107 (42)
N. Mikulić 	4	6	4 - 2 - 0	9 - 4 (5)	128 - 95 (33)
J. Benčik 	4	6	4 - 2 - 0	10 - 6 (4)	157 - 151 (6)
V. Milović 	3	6	3 - 3 - 0	8 - 7 (1)	153 - 145 (8)
M. Trstenjak 	2	5	2 - 3 - 0	4 - 8 (-4)	115 - 126 (-11)
D. Horvat 	2	6	2 - 4 - 0	5 - 10 (-5)	139 - 154 (-15)
M. Terek 	0	5	0 - 5 - 0	1 - 10 (-9)	54 - 117 (-63)
D. Dolar 	0	0	0 - 0 - 0	0 - 0	0 - 0
GROUP_3
S. Dvorski 	5	5	5 - 0 - 0	10 - 2 (8)	134 - 87 (47)
B. Bistrović 	5	6	5 - 1 - 0	11 - 3 (8)	148 - 101 (47)
B. Strahija 	5	7	5 - 2 - 0	10 - 5 (5)	151 - 120 (31)
M. Jelavić 	3	6	3 - 3 - 0	9 - 7 (2)	149 - 127 (22)
V. Novak-Dado 	2	6	2 - 4 - 0	5 - 9 (-4)	128 - 133 (-5)
A. Markov 	2	7	2 - 5 - 0	4 - 10 (-6)	45 - 136 (-91)
S. Srdenovic 	1	4	1 - 3 - 0	2 - 6 (-4)	67 - 69 (-2)
D. Sklepić 	1	7	1 - 6 - 0	3 - 12 (-9)	113 - 162 (-49)
GROUP_4
D. Bistrović 	5	6	5 - 1 - 0	10 - 2 (8)	122 - 77 (45)
I. Vibovic 	5	7	5 - 2 - 0	11 - 5 (6)	154 - 100 (54)
G. Drabić 	4	5	4 - 1 - 0	9 - 2 (7)	110 - 66 (44)
R. Markovic 	4	6	4 - 2 - 0	8 - 4 (4)	113 - 68 (45)
K. Tuksar 	3	4	3 - 1 - 0	6 - 4 (2)	94 - 82 (12)
M. Kolarić 	2	6	2 - 4 - 0	4 - 9 (-5)	99 - 108 (-9)
Z. Kaučić 	1	7	1 - 6 - 0	3 - 12 (-9)	87 - 141 (-54)
I. Vinković 	0	7	0 - 7 - 0	1 - 14 (-13)	24 - 161 (-137)
GROUP_5
D. Strišković 	6	7	6 - 1 - 0	13 - 3 (10)	148 - 107 (41)
D. Podvezanec 	6	7	6 - 1 - 0	12 - 3 (9)	129 - 78 (51)
D. Janković 	5	7	5 - 2 - 0	11 - 6 (5)	157 - 133 (24)
D. Horvat 	4	7	4 - 3 - 0	9 - 6 (3)	113 - 108 (5)
N. Telebuh 	3	7	3 - 4 - 0	7 - 8 (-1)	111 - 127 (-16)
M. Drabic 	3	7	3 - 4 - 0	6 - 8 (-2)	97 - 107 (-10)
I. Gregorec 	1	7	1 - 6 - 0	2 - 12 (-10)	52 - 132 (-80)
G. Kraljić 	0	7	0 - 7 - 0	0 - 14 (-14)	7 - 22 (-15)
D. Novak 	0	0	0 - 0 - 0	0 - 0	0 - 0
