GROUP_1
Z. Repija 	19	7	6 - 1 - 0	13 - 5 (8)	180 - 150 (30)
N. Mikac 	19	7	6 - 1 - 0	12 - 5 (7)	175 - 123 (52)
M. Mikac 	17	7	5 - 2 - 0	12 - 5 (7)	171 - 135 (36)
V. Žbulj 	15	7	4 - 3 - 0	11 - 8 (3)	183 - 169 (14)
I. Levak 	12	6	3 - 3 - 0	8 - 7 (1)	132 - 140 (-8)
D. Terek 	10	6	2 - 4 - 0	5 - 9 (-4)	125 - 134 (-9)
V. Milović 	9	7	1 - 6 - 0	3 - 12 (-9)	115 - 150 (-35)
I. Vibovic 	7	7	0 - 7 - 0	1 - 14 (-13)	81 - 161 (-80)
GROUP_2
T. Pavlic 	21	7	7 - 0 - 0	14 - 2 (12)	173 - 123 (50)
P. Rojko 	19	7	6 - 1 - 0	13 - 4 (9)	179 - 121 (58)
A. Markov 	15	7	4 - 3 - 0	11 - 7 (4)	165 - 142 (23)
J. Benčik 	14	6	4 - 2 - 0	9 - 8 (1)	175 - 165 (10)
D. Horvat 	12	6	3 - 3 - 0	6 - 6 (0)	108 - 120 (-12)
L. Grubić 	11	7	2 - 5 - 0	5 - 12 (-7)	131 - 166 (-35)
S. Dvorski 	9	7	1 - 6 - 0	5 - 12 (-7)	142 - 170 (-28)
B. Bistrović 	7	7	0 - 7 - 0	2 - 14 (-12)	116 - 182 (-66)
GROUP_3
N. Mikulić 	24	8	8 - 0 - 0	16 - 2 (14)	192 - 135 (57)
I. Zlatarek 	23	9	7 - 2 - 0	15 - 6 (9)	222 - 166 (56)
K. Zvonarek 	20	8	6 - 2 - 0	12 - 8 (4)	192 - 181 (11)
B. Strahija 	19	9	5 - 4 - 0	13 - 9 (4)	207 - 206 (1)
D. Novak 	19	9	5 - 4 - 0	10 - 12 (-2)	200 - 219 (-19)
D. Strišković 	15	9	3 - 6 - 0	10 - 14 (-4)	219 - 226 (-7)
M. Terek 	13	7	3 - 4 - 0	9 - 9 (0)	155 - 148 (7)
M. Jelavić 	13	9	2 - 7 - 0	7 - 15 (-8)	196 - 224 (-28)
A. Kanižaj 	13	9	2 - 7 - 0	7 - 15 (-8)	179 - 209 (-30)
D. Podvezanec 	13	9	2 - 7 - 0	6 - 15 (-9)	169 - 217 (-48)
GROUP_4
D. Juričan 	16	6	5 - 1 - 0	10 - 2 (8)	122 - 80 (42)
R. Hoblaj 	12	4	4 - 0 - 0	8 - 1 (7)	97 - 69 (28)
F. Cimerman 	10	6	2 - 4 - 0	6 - 9 (-3)	123 - 146 (-23)
I. Vinković 	9	5	2 - 3 - 0	6 - 7 (-1)	120 - 116 (4)
R. Markovic 	9	5	2 - 3 - 0	4 - 8 (-4)	104 - 116 (-12)
G. Drabić 	4	2	1 - 1 - 0	3 - 2 (1)	46 - 44 (2)
T. Zanjko 	4	2	1 - 1 - 0	2 - 2 (0)	36 - 41 (-5)
Z. Kaučić 	3	3	0 - 3 - 0	0 - 6 (-6)	36 - 66 (-30)
N. Medved 	1	1	0 - 1 - 0	0 - 2 (-2)	16 - 22 (-6)
M. Kopjar 	0	0	0 - 0 - 0	0 - 0	0 - 0
GROUP_5
S. Balog 	19	7	6 - 1 - 0	12 - 3 (9)	157 - 116 (41)
M. Kolarić 	16	6	5 - 1 - 0	10 - 3 (7)	130 - 85 (45)
N. Drabić 	13	5	4 - 1 - 0	8 - 3 (5)	111 - 92 (19)
K. Korent 	13	5	4 - 1 - 0	8 - 4 (4)	124 - 97 (27)
D. Petričević 	13	7	3 - 4 - 0	9 - 8 (1)	155 - 147 (8)
L. Markaj 	6	4	1 - 3 - 0	2 - 7 (-5)	67 - 90 (-23)
Z. Šušljek 	6	6	0 - 6 - 0	1 - 12 (-11)	69 - 141 (-72)
V. Hrušoci 	5	5	0 - 5 - 0	2 - 10 (-8)	96 - 134 (-38)
M. Medved 	1	1	0 - 1 - 0	0 - 2 (-2)	15 - 22 (-7)
K. Poljanec 	0	0	0 - 0 - 0	0 - 0	0 - 0
