GROUP_1
N. Mikac 	6	7	6 - 1 - 0	13 - 4 (9)	178 - 116 (62)
M. Mikac 	6	7	6 - 1 - 0	12 - 3 (9)	161 - 122 (39)
Z. Repija 	5	7	5 - 2 - 0	11 - 5 (6)	149 - 126 (23)
I. Levak 	4	7	4 - 3 - 0	8 - 6 (2)	133 - 91 (42)
V. Žbulj 	4	7	4 - 3 - 0	9 - 7 (2)	156 - 128 (28)
D. Terek 	2	7	2 - 5 - 0	4 - 10 (-6)	59 - 134 (-75)
I. Zlatarek 	1	7	1 - 6 - 0	3 - 13 (-10)	103 - 165 (-62)
N. Mikulić 	0	7	0 - 7 - 0	2 - 14 (-12)	111 - 168 (-57)
GROUP_2
P. Rojko 	5	6	5 - 1 - 0	11 - 2 (9)	138 - 83 (55)
J. Benčik 	5	6	5 - 1 - 0	11 - 5 (6)	177 - 153 (24)
V. Milović 	5	6	5 - 1 - 0	10 - 5 (5)	145 - 120 (25)
D. Horvat 	3	6	3 - 3 - 0	8 - 7 (1)	136 - 141 (-5)
S. Dvorski 	2	6	2 - 4 - 0	5 - 9 (-4)	124 - 148 (-24)
B. Bistrović 	1	6	1 - 5 - 0	4 - 10 (-6)	107 - 149 (-42)
M. Trstenjak 	0	6	0 - 6 - 0	1 - 12 (-11)	117 - 150 (-33)
T. Pavlic 	0	0	0 - 0 - 0	0 - 0	0 - 0
GROUP_3
V. Novak-Dado 	5	5	5 - 0 - 0	10 - 2 (8)	124 - 94 (30)
M. Terek 	3	5	3 - 2 - 0	8 - 6 (2)	138 - 114 (24)
I. Vibovic 	3	5	3 - 2 - 0	7 - 6 (1)	130 - 116 (14)
M. Jelavić 	2	5	2 - 3 - 0	6 - 7 (-1)	121 - 133 (-12)
D. Bistrović 	2	5	2 - 3 - 0	5 - 8 (-3)	102 - 121 (-19)
B. Strahija 	0	5	0 - 5 - 0	3 - 10 (-7)	102 - 139 (-37)
D. Dolar 	0	0	0 - 0 - 0	0 - 0	0 - 0
A. Markov 	0	0	0 - 0 - 0	0 - 0	0 - 0
GROUP_4
D. Strišković 	3	3	3 - 0 - 0	6 - 1 (5)	78 - 63 (15)
R. Markovic 	2	4	2 - 2 - 0	5 - 5 (0)	74 - 80 (-6)
D. Sklepić 	2	4	2 - 2 - 0	5 - 6 (-1)	116 - 105 (11)
G. Drabić 	1	3	1 - 2 - 0	3 - 4 (-1)	49 - 50 (-1)
D. Podvezanec 	1	4	1 - 3 - 0	3 - 6 (-3)	78 - 97 (-19)
S. Srdenovic 	0	0	0 - 0 - 0	0 - 0	0 - 0
K. Tuksar 	0	0	0 - 0 - 0	0 - 0	0 - 0
M. Kolarić 	0	0	0 - 0 - 0	0 - 0	0 - 0
GROUP_5
D. Novak 	3	3	3 - 0 - 0	6 - 0 (6)	72 - 51 (21)
D. Horvat 	1	2	1 - 1 - 0	2 - 2 (0)	41 - 35 (6)
I. Vinković 	1	2	1 - 1 - 0	2 - 2 (0)	38 - 38 (0)
Z. Kaučić 	1	4	1 - 3 - 0	2 - 6 (-4)	61 - 78 (-17)
I. Gregorec 	0	1	0 - 1 - 0	0 - 2 (-2)	12 - 22 (-10)
D. Janković 	0	0	0 - 0 - 0	0 - 0	0 - 0
N. Telebuh 	0	0	0 - 0 - 0	0 - 0	0 - 0
M. Drabic 	0	0	0 - 0 - 0	0 - 0	0 - 0
G. Kraljić 	0	0	0 - 0 - 0	0 - 0	0 - 0
