GROUP_1
N. Mikac 	18	6	6 - 0 - 0	12 - 2 (10)	154 - 113 (41)
M. Mikac 	17	7	5 - 2 - 0	12 - 4 (8)	164 - 110 (54)
D. Dolar 	16	6	5 - 1 - 0	10 - 3 (7)	136 - 87 (49)
Z. Repija 	15	7	4 - 3 - 0	10 - 9 (1)	184 - 170 (14)
V. Žbulj 	15	7	4 - 3 - 0	8 - 9 (-1)	155 - 158 (-3)
D. Terek 	11	7	2 - 5 - 0	6 - 10 (-4)	124 - 143 (-19)
J. Benčik 	9	7	1 - 6 - 0	3 - 12 (-9)	90 - 156 (-66)
P. Rojko 	7	7	0 - 7 - 0	2 - 14 (-12)	105 - 175 (-70)
GROUP_2
T. Pavlic 	19	7	6 - 1 - 0	12 - 3 (9)	156 - 113 (43)
V. Milović 	17	7	5 - 2 - 0	11 - 4 (7)	153 - 113 (40)
I. Levak 	9	3	3 - 0 - 0	6 - 0 (6)	66 - 40 (26)
S. Dvorski 	9	5	2 - 3 - 0	4 - 6 (-2)	84 - 103 (-19)
I. Zlatarek 	8	4	2 - 2 - 0	4 - 4 (0)	71 - 59 (12)
N. Mikulić 	8	4	2 - 2 - 0	4 - 4 (0)	76 - 72 (4)
M. Terek 	8	6	1 - 5 - 0	2 - 10 (-8)	80 - 121 (-41)
V. Novak-Dado 	6	6	0 - 6 - 0	0 - 12 (-12)	70 - 135 (-65)
GROUP_3
D. Horvat 	19	7	6 - 1 - 0	13 - 3 (10)	163 - 111 (52)
B. Bistrović 	19	7	6 - 1 - 0	12 - 3 (9)	162 - 104 (58)
B. Strahija 	17	7	5 - 2 - 0	11 - 5 (6)	180 - 155 (25)
M. Jelavić 	15	7	4 - 3 - 0	9 - 8 (1)	174 - 171 (3)
I. Vibovic 	13	7	3 - 4 - 0	8 - 9 (-1)	159 - 173 (-14)
M. Trstenjak 	10	6	2 - 4 - 0	5 - 9 (-4)	119 - 133 (-14)
M. Kolarić 	8	6	1 - 5 - 0	3 - 10 (-7)	83 - 129 (-46)
D. Sklepić 	7	7	0 - 7 - 0	0 - 14 (-14)	97 - 161 (-64)
GROUP_4
A. Markov 	21	7	7 - 0 - 0	14 - 0 (14)	154 - 72 (82)
D. Bistrović 	17	7	5 - 2 - 0	11 - 5 (6)	162 - 111 (51)
I. Vinković 	17	7	5 - 2 - 0	10 - 5 (5)	143 - 133 (10)
K. Tuksar 	14	6	4 - 2 - 0	8 - 4 (4)	115 - 84 (31)
I. Dobrović 	11	7	2 - 5 - 0	4 - 10 (-6)	88 - 139 (-51)
S. Srdenovic 	9	5	2 - 3 - 0	5 - 6 (-1)	89 - 101 (-12)
Z. Kaučić 	6	6	0 - 6 - 0	0 - 12 (-12)	73 - 132 (-59)
D. Novak 	5	5	0 - 5 - 0	0 - 10 (-10)	59 - 111 (-52)
D. Horvat 	0	0	0 - 0 - 0	0 - 0	0 - 0
